split,condition,method,controller,res,cond_res,subset,via,n,f1,mse,rmse,miou,sr,fid,pfid,musiq,niqe,maniqa,qalign,deqa,unipercept_iaa,unipercept_iqa,vqr1,psnr,ssim,lpips,dists
dreambench750,subject,pid_k28,omini,512,512,,,750,,,,,,,,75.2887466583252,5.0133989608627525,0.6201548341711363,4.59108203125,,,,,,,,
dreambench750,subject,vae,omini,512,512,,,750,,,,,,,,75.16821464538575,5.064143076136107,0.5720733951727549,4.633834635416667,,,,,,,,
multigen5k,canny,pid_k16,easycontrol,2048,2048,,,5000,0.46258731339803283,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k16,easycontrol,2048,512,,,5000,0.6582223879293184,,,,,,,73.7301657119751,3.1753598853958813,0.43266176051199434,4.731313671875,4.366617578125,76.70565,77.9585,4.718436,,,,
multigen5k,depth,pid_k16,easycontrol,2048,512,,,5000,,723.5135801889054,24.557056114447192,,,,,73.77688448562623,3.2487121994733688,0.43097180031239984,4.722755859375,,,,,,,,
multigen5k,canny,pid_k16,easycontrol,512,512,,,5000,0.6573572752947966,,,,,20.138445767434064,22.269505576558004,74.56427630081177,3.838026638387114,0.6303995946228504,4.655546875,4.34343515625,76.4927,77.30605,4.71038,11.978830921006203,0.41985765204067266,0.5073463210254907,0.2532001460075378
multigen5k,depth,pid_k16,easycontrol,512,512,,,5000,,747.6186985249446,24.95511792603205,,,22.840160484444993,24.53738904490922,74.5774693069458,3.8651641779729435,0.6209575776129961,4.649659765625,,,,,10.941605009937286,0.3664876335230475,0.5903682130455971,0.2782129455685616
multigen5k,canny,pid_k24,easycontrol,2048,2048,,,5000,0.4755184947825218,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k24,easycontrol,2048,512,,,5000,0.7660100628467386,,,,,,,72.20098100128173,3.7438833062968677,0.4029614057898521,4.5871544921875,4.22459453125,73.947575,75.13335,4.611538,,,,
multigen5k,depth,pid_k24,easycontrol,2048,512,,,5000,,589.149303727839,21.929488905039705,,,,,71.97576931152344,3.7697224742886153,0.3966157401502132,4.601026171875,,,,,,,,
multigen5k,canny,pid_k24,easycontrol,512,512,,,5000,0.8014747721180826,,,,,18.23978997638011,20.190224443196428,73.88506162109375,4.18581096469412,0.574361363390088,4.4841505859375,4.1788388671875,73.252675,73.9544,4.59775,11.53406688489914,0.4463977668167724,0.45679339566230776,0.24129433916807175
multigen5k,depth,pid_k24,easycontrol,512,512,,,5000,,607.7165161528363,22.270029534707103,,,24.322769410661408,24.949584162945257,73.88915662384034,4.059170793694094,0.5540819813251495,4.488651171875,,,,,10.38733209092617,0.370231865806398,0.5851268257066607,0.27757339133024217
multigen5k,canny,pid_k28,easycontrol,2048,2048,,,5000,0.42458680898558016,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k28,easycontrol,2048,512,,,5000,0.7700240777186437,,,,,,,70.26678805923461,4.077581186940529,0.33721562038660047,4.5479638671875,4.182930859375,70.40175,72.6452,4.520608,,,,
multigen5k,depth,pid_k28,easycontrol,2048,512,,,5000,,592.8812903648915,21.984568159827102,,,,,69.6773954963684,4.230444402601799,0.332120175807178,4.52839453125,,,,,,,,
multigen5k,canny,pid_k28,easycontrol,512,512,,,5000,0.818479147334488,,,,,20.03154145966539,22.070164018840615,73.55561725158691,4.399458286052357,0.5261314799517393,4.4095505859375,4.0851935546875,68.930675,70.927325,4.50916,11.501874289381504,0.45241253061094594,0.4598940287128091,0.2454420132994652
multigen5k,depth,pid_k28,easycontrol,512,512,,,5000,,611.9696395679781,22.330274313995737,,,26.09542529596348,27.122347817353898,73.36750199203492,4.151029620307372,0.49105763598382474,4.35542421875,,,,,10.356575196766853,0.37452613564678167,0.5908123067572713,0.2822358536601067
multigen5k,canny,vae,easycontrol,2048,512,,upsampled_ref,5000,0.4393282509836773,,,,,,,,,,,,,,,,,,
multigen5k,canny,vae,easycontrol,2048,2048,,upsampled_ref,5000,0.1562121691033845,,,,,,,,,,,,,,,,,,
multigen5k,canny,vae,easycontrol,512,512,,,5000,0.8095359055479696,,,,,20.85919210804377,23.034043475220642,73.27019469070434,4.477277847320728,0.45375197788476945,4.2901998046875,3.925187109375,63.1519,66.991325,4.443494,11.543311303734779,0.4559281715794752,0.4664922499328852,0.24847271189689638
multigen5k,canny,vae,easycontrol,512,512,subset500,,500,0.8101126596226584,,,,,78.33628302390412,88.35763150245236,73.21791427612305,4.529402825171073,0.45402675262093545,4.29601953125,,,,,11.472225106716156,0.4576719518101415,0.46662704335153105,0.24917260026931762
multigen5k,depth,vae,easycontrol,512,512,,,5000,,621.6558648919554,22.482346581416547,,,26.8460767252206,29.025810127167233,73.06911050109863,4.383358958127731,0.41675026866793635,4.2023201171875,,,,,10.390486214017868,0.3790231337069362,0.595710779298842,0.28789371160268784
multigen5k,depth,vae,easycontrol,512,512,subset500,,500,,598.6987147601301,21.957657143504154,,,82.15120780632179,98.03309396572018,73.11041413879394,4.4273017693836625,0.41353444159030917,4.19356640625,,,,,10.46014016532898,0.3861766920369598,0.5942159081250429,0.28772417318820953
multigen5k,canny,vae,easycontrol_1024,512,512,subset500,,500,0.7931329369281698,,,,,87.64338031874587,93.87712885644157,73.76373030853271,4.830959825281349,0.4925917325615883,4.21483984375,,,,,10.505160069942475,0.4153424582721437,0.49725750114023687,0.2706721587181091
multigen5k,depth,vae,easycontrol_1024,512,512,subset500,,500,,727.7970238241086,24.40846782276602,,,93.01678141619652,97.57281668046039,73.74389363098145,4.690922517581188,0.5352569040358066,4.5102890625,,,,,9.679631818294526,0.34957625202998677,0.614708985120058,0.29363070404529573
multigen5k,canny,pid_k16,fluxcn,2048,2048,,,5000,0.43423479622435635,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k16,fluxcn,2048,512,,,5000,0.5767165222691941,,,,,,,74.05375627059937,2.900893968892708,0.42145896371304986,4.680991015625,4.302203515625,77.744375,78.0445,4.681456,,,,
multigen5k,depth,pid_k16,fluxcn,2048,512,,,5000,,1581.280402692078,36.938817139058784,,,,,72.66930721817016,2.876938170395499,0.39192382947802545,4.556669140625,,,,,,,,
multigen5k,canny,pid_k16,fluxcn,512,512,,,5000,0.5412731758994133,,,,,23.37991654927066,24.298072496564885,74.3976784729004,3.7339100287230393,0.6777993965208531,4.622733203125,4.2985625,77.709425,77.57015,4.6653720000000005,11.008660192775727,0.33341698830809274,0.6070603382408619,0.2861401822090149
multigen5k,depth,pid_k16,fluxcn,512,512,,,5000,,1630.060345870952,37.47054298297939,,,31.465801025191354,29.19455442297067,73.73248178100586,3.398619243494781,0.6373525086849928,4.463737109375,,,,,10.192067804527282,0.27393418069039527,0.6746983109891415,0.3133453656673431
multigen5k,canny,pid_k24,fluxcn,2048,2048,,,5000,0.48905121947830893,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k24,fluxcn,2048,512,,,5000,0.6493345364472353,,,,,,,72.09296772232055,2.958592244287962,0.39745575310587883,4.5128630859375,4.0968623046875,75.70085,74.857575,4.58196,,,,
